"lat","long","cell_category","proportion_cover","cell_id","amt","arid","ts","pwarmq","pcoldq","th","clay"
-27.51666585,133.71666575,"land",1,1324,-0.133687386054574,-0.73946000961512,1.01267053814574,-0.739901736112731,-0.428907523334254,-0.307798705231217,0.414111611668048
-27.51666585,134.54999905,"land",1,1325,-0.0753274304943314,-0.759451888713012,0.998701309503175,-0.7658448889102,-0.52860414011453,-0.226644927651122,1.32459740629849
-27.51666585,135.38333235,"land",1,1326,0.0487616641246935,-0.784822788810612,1.08791092703579,-0.782278182364643,-0.506282331365423,-0.414316420142881,1.63633242490972
-27.51666585,136.21666565,"land",1,1327,0.105719508444694,-0.832162111727722,1.15185789680902,-0.943328267862131,-0.530801279988966,-0.27804715188541,1.79770376216951
-27.51666585,137.04999895,"land",1,1328,0.182169668816061,-0.845497097217444,1.21927388290617,-0.98452985222028,-0.375432388379339,-0.755465972447492,0.671663356560495
-27.51666585,137.88333225,"land",1,1329,0.184210289635862,-0.829522009371481,1.26904815880274,-0.925529559063604,-0.312776397810286,-0.819994618355391,0.574059157923849
-27.51666585,138.71666555,"land",1,1330,0.175619883446046,-0.804911140941861,1.30588195792073,-0.919728022344614,-0.493917080435533,-0.61026442833643,1.55733970611142
-27.51666585,139.54999885,"land",1,1331,0.209060416514432,-0.790678471242873,1.31877541357609,-0.932656015846509,-0.575284015307227,-0.710573550810238,0.575200036188605
-27.51666585,140.38333215,"land",1,1332,0.263685158529986,-0.778238190941993,1.30036950026084,-0.742080263431362,-0.537513902425048,-0.671607733629538,1.06082071064206
-27.51666585,141.21666545,"land",1,1333,0.25171096654857,-0.739595591373916,1.27377707755896,-0.642872052213575,-0.489998826993119,-0.340736898912028,1.21686144959417
-27.51666585,142.04999875,"land",1,1334,0.264069884175174,-0.691274644897675,1.26089285034833,-0.703800609482344,-0.422444998604434,-0.424846479676807,1.88589697734799
-27.51666585,142.88333205,"land",1,1335,0.195834403778731,-0.623893780432439,1.19117151086441,-0.616937022223037,-0.356681743692905,-0.49766867446191,1.24980398305123
-27.51666585,143.71666535,"land",1,1336,0.0951798256525893,-0.544427829357574,1.12140446860652,-0.47517309297931,-0.350599409509832,-0.435246772408495,0.914035483716662
-27.51666585,144.54999865,"land",1,1337,0.0265150724309889,-0.470983568444558,1.03776927114849,-0.3660117356683,-0.310831604419808,-0.441835396195765,0.767670186346364
-27.51666585,145.38333195,"land",1,1338,-0.0575711045472183,-0.393568200647695,0.936218586295846,-0.281486756776505,-0.273539724588553,-0.550619481125869,0.805888476564743
-27.51666585,146.21666525,"land",1,1339,-0.123139603775203,-0.329187936339487,0.907046154113637,-0.267939814886799,-0.184756047662885,-0.567287742987212,0.73159680994178
-27.51666585,147.04999855,"land",1,1340,-0.196806240355768,-0.256232670730168,0.869846293354173,-0.170208481974876,-0.119108510227883,-0.434225671165995,0.865119261751834
-27.51666585,147.88333185,"land",1,1341,-0.295535840341423,-0.17433903598708,0.786262950966606,-0.0865401504526718,-0.0269949609845515,-0.406821378320256,0.43857424925429
-27.51666585,148.71666515,"land",1,1342,-0.336534094973067,-0.0789800109516982,0.663314578902942,0.039803413611492,0.104701194946487,-0.488245395094997,1.19740088333781
